Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Schools | Teachers,1,Sydney Region,Ryde,Putney Public School,Ryde,https://iworkfor.nsw.gov.au/job/teacher-putney-public-school-110118,,0000650G,02 9807 6255 - Elizabeth Smee,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Putney Public School
Schools | TCH Other,1,Sydney Region,Mount Druitt,St Marys North Public School,Penrith,https://iworkfor.nsw.gov.au/job/assistant-principal-st-marys-north-public-school-110119,,0000629C,0296231443 - Lisa Parrello,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - St Marys North Public School
Schools | Teachers,1,Sydney Region,Mount Druitt,Marayong South Public School,Eastern Creek,https://iworkfor.nsw.gov.au/job/teacher-marayong-south-public-school-110120,,000062JX,9622 4216 - Petrina Walker,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Marayong South Public School
Schools | TCH Other,1,Sydney Region,Hornsby,Cheltenham Girls High School,Dural,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-cheltenham-girls-high-school-110121,,000062JG,02 9876 4481 - Suellen Lawrence,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Secondary - Cheltenham Girls High School
Schools | TCH Other,2,Regional NSW,Bathurst,Bathurst South Public School,Bathurst,https://iworkfor.nsw.gov.au/job/assistant-principal-bathurst-south-public-school-110122,,000062ML,63311297 - Gregory Cross,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Bathurst South Public School
Schools | TCH Other,1,Sydney Region,St George,Sydney Technical High School,Georges River,https://iworkfor.nsw.gov.au/job/head-teacher-personal-development-health-and-physical-education-sydney-technical-high-school-110123,,000064W4,02 9587 5899 - Jacqueline Lyons,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,"Head Teacher Personal Development, Health and Physical Education - Sydney Technical High School"
Schools | Teachers,1,Sydney Region,Ryde,North Sydney Boys High School,North Sydney,https://iworkfor.nsw.gov.au/job/teacher-technology-north-sydney-boys-high-school-110124,,000065KL,02 9955 4748 - Yugendran Pillay,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Technology - North Sydney Boys High School
Schools | Teachers,1,Regional NSW,Tamworth,Peel High School,Tamworth,https://iworkfor.nsw.gov.au/job/teacher-english-peel-high-school-110125,,000061ZX,02 6765 7088 - Rod Joes,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher English - Peel High School
Schools | TCH Other,1,Regional NSW,Tamworth,Tamworth Public School,Tamworth,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-k-6-tamworth-public-school-110126,,000062FQ,02 67662016 - Penny Westman,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Primary K-6 - Tamworth Public School
Schools | TCH Other,1,Regional NSW,Taree,Great Lakes College Forster Campus,Great Lakes,https://iworkfor.nsw.gov.au/job/head-teacher-human-society-and-its-environment-great-lakes-college-forster-campus-110127,,000061RH,02 6554 6062 - Jennifer Miggins,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Human Society and its Environment - Great Lakes College Forster Campus
Schools | TCH Other,1,Sydney Region,Mount Druitt,Oxley Park Public School,Eastern Creek,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-oxley-park-public-school-110128,,0000660W,02 9623 1375 - Tracy Madsen,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Primary - Oxley Park Public School
Schools | TCH Other,1,Sydney Region,Port Jackson,Croydon Public School,Strathfield,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-croydon-public-school-110129,,00006311,9747 3557 - Cathy Lucantonio,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Primary - Croydon Public School
Schools | Teachers,1,Regional NSW,Bourke,Cobar High School,Mitchell,https://iworkfor.nsw.gov.au/job/teacher-music-cobar-high-school-110130,,00006600,02 6836 2705 - Shane Carter,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Music  - Cobar High School
Schools | TCH Other,1,Sydney Region,Ryde,North Sydney Boys High School,North Sydney,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-north-sydney-boys-high-school-110131,,0000629B,02 9955 1947 - Rufina Ismail,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Secondary - North Sydney Boys High School
Schools | Teachers,1,Illawarra & South Coast,Shellharbour,Shoalhaven High School,South Coast,https://iworkfor.nsw.gov.au/job/teacher-mathematics-shoalhaven-high-school-110132,,0000656F,02 4421 8022 - Jennifer McDonald,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Mathematics - Shoalhaven High School
Schools | Teachers,1,Sydney Region,Northern Beaches,Barrenjoey High School,Warringah,https://iworkfor.nsw.gov.au/job/teacher-science-barrenjoey-high-school-110133,,0000630C,02 9918 8811 - Sarah James,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Science - Barrenjoey High School
Schools | Teachers,1,Sydney Region,Bondi,J J Cahill Memorial High School,Botany Bay,https://iworkfor.nsw.gov.au/job/teacher-special-education-j-j-cahill-memorial-high-school-110134,,00005WQL,02 9669 5119 - Margaret Tyson,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Special Education - J J Cahill Memorial High School
Schools | Teachers,1,Sydney Region,Bondi,Centennial Park School,Botany Bay,https://iworkfor.nsw.gov.au/job/teacher-special-education-centennial-park-school-110136,,00006353,02 9310 0588 - David Lomas,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Special Education - Centennial Park School
Schools | Teachers,1,Illawarra & South Coast,Shellharbour,Bowral Public School,Wollondilly,https://iworkfor.nsw.gov.au/job/teacher-bowral-public-school-110139,,00006533,02 4861 1086 - Wendy Buckley,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Bowral Public School
Schools | TCH Other,1,Sydney Region,Parramatta,Northmead Creative and Performing Arts High School,Parramatta,https://iworkfor.nsw.gov.au/job/head-teacher-creative-performing-arts-northmead-creative-and-performing-arts-high-school-110140,,000060ZU,02 9630 4116 - Narelle Vazquez,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Creative & Performing Arts - Northmead Creative and Performing Arts High School
Schools | Teachers,1,Sydney Region,Fairfield,Sefton High School,Chullora,https://iworkfor.nsw.gov.au/job/teacher-mathematics-sefton-high-school-110141,,000065K1,02 9644 4800 - Mr Bill Dimopoulos,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Mathematics - Sefton High School
Schools | Teachers,1,Central & North Coasts - Newcastle & Hunter Valley,Newcastle,Newcastle High School,Newcastle,https://iworkfor.nsw.gov.au/job/teacher-human-society-and-its-environment-newcastle-high-school-110142,,000064BT,02 4969 3177 - Nathan Towney,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Human Society and its Environment - Newcastle High School
Schools | TCH Other,1,Sydney Region,Northern Beaches,Northern Beaches Secondary College Freshwater Senior Campus,The Beaches,https://iworkfor.nsw.gov.au/job/head-teacher-mathematics-northern-beaches-secondary-college-freshwater-senior-campus-110143,,000065QV,0439 994 942 - Frank Pikardt,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Mathematics - Northern Beaches Secondary College Freshwater Senior Campus
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Newcastle,Stockton Public School,Newcastle,https://iworkfor.nsw.gov.au/job/assistant-principal-stockton-public-school-110144,,000062GK,02 4969 3795 - Sue Estens,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Stockton Public School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Central Coast,Wyong High School,Wyong,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-wyong-high-school-110145,,0000631I,02 4353 1088 - Odette Hook,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Secondary - Wyong High School
Schools | TCH Other,1,Illawarra & South Coast,Wollongong,Nareena Hills Public School,Wollongong North,https://iworkfor.nsw.gov.au/job/assistant-principal-nareena-hills-public-school-110147,,000062CI,02 4226 3867 - Simone Brett,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Nareena Hills Public School
Schools | TCH Other,1,Sydney Region,Bankstown,Revesby Public School,Bankstown,https://iworkfor.nsw.gov.au/job/assistant-principal-revesby-public-school-110148,,000062CS,02 9773 8255 - Narelle Nies,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Revesby Public School
Schools | Teachers,1,Sydney Region,Granville,Birrong Boys High School,Bankstown,https://iworkfor.nsw.gov.au/job/teacher-mathematics-birrong-boys-high-school-110149,,0000633E,02 9644 5200 - Cathy Scott,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Mathematics - Birrong Boys High School
Schools | Teachers,1,Sydney Region,Campbelltown,Wilton Public School,Wollondilly,https://iworkfor.nsw.gov.au/job/teacher-wilton-public-school-110151,,0000650W,02 4630 8006 - Debra Gray,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Wilton Public School
